filename: p1415_970.txt
x_pixel:     1415
y_pixel:      970
diff2_ts/diff2_ts.tab
slope (units per day):   -5.5366e-05
intercept (dt=0.0):      -4.1543e-03
std. deviation:           5.9954e-03
index      time ISO8601         JD 1-Jan-1970      JD start       data       linear model
******************************************************************************************
   0  2018-11-11T10:13:43.636   17846.426199       0.000000   -4.41380e-15   -4.15430e-03
   1  2018-12-17T10:13:42.402   17882.426185      35.999986    1.77554e-03   -6.14749e-03
   2  2019-01-22T10:13:41.254   17918.426172      71.999972   -1.23243e-02   -8.14069e-03
   3  2019-03-23T10:13:40.687   17978.426165     131.999966   -2.06362e-02   -1.14627e-02
   4  2019-04-28T10:13:41.987   18014.426180     167.999981   -1.83786e-02   -1.34559e-02
   5  2019-05-22T10:13:42.972   18038.426192     191.999992   -1.56481e-02   -1.47847e-02
   6  2019-10-25T10:13:50.053   18194.426274     348.000074   -1.47412e-02   -2.34218e-02
   7  2019-11-06T10:13:50.153   18206.426275     360.000075   -1.69945e-02   -2.40862e-02
   8  2020-01-17T10:13:47.623   18278.426246     432.000046   -3.47672e-02   -2.80726e-02
   9  2020-04-10T10:13:47.319   18362.426242     516.000043   -3.78499e-02   -3.27234e-02
  10  2020-10-19T10:13:56.592   18554.426349     708.000150   -3.83998e-02   -4.33538e-02
  11  2020-10-31T10:13:56.622   18566.426350     720.000150   -4.58574e-02   -4.40182e-02
